,cloudiness,country,date,humidity,latitude,longitude,max temperature,name,wind speed
0,48,IS,1549225860,100,64.25,-15.21,29.31,Hofn,5.06
1,100,AU,1549225861,85,-23.58,149.07,73.77,Bluff,12.77
2,40,AU,1549224000,87,-42.78,147.06,60.8,New Norfolk,5.82
3,20,US,1549223640,54,42.65,-73.75,42.98,Albany,9.17
4,8,YE,1549225710,100,12.79,45.03,76.52,Aden,11.77
5,20,AR,1549224000,55,-54.81,-68.31,64.4,Ushuaia,24.16
6,75,JP,1549224000,77,35.73,140.83,62.6,Hasaki,21.92
7,32,ML,1549225865,33,18.9,-3.53,65.49,Araouane,9.19
8,0,GL,1549223400,34,69.22,-51.1,21.2,Ilulissat,18.34
9,0,AU,1549225726,63,-33.21,138.6,62.88,Jamestown,12.77
10,36,PH,1549225867,100,7.31,122.85,80.7,Olutanga,7.07
11,92,PE,1549225867,100,-14.07,-70.43,52.44,Macusani,2.37
12,75,CK,1549224000,88,-21.21,-159.78,80.6,Avarua,14.99
13,0,CL,1549224000,35,-53.16,-70.91,73.4,Punta Arenas,20.8
14,0,FR,1549224000,91,48.95,4.24,32.0,Saint-Pierre,4.7
15,0,PF,1549225871,100,-23.12,-134.97,81.42,Rikitea,8.97
16,0,PE,1549224000,30,-13.71,-76.2,71.6,Pisco,14.99
17,75,NU,1549224000,69,-19.06,-169.92,82.4,Alofi,12.75
18,92,MG,1549225872,100,-13.68,48.45,69.09,Ambanja,3.04
19,40,US,1549223760,60,22.08,-159.32,78.08,Kapaa,16.11
20,75,GA,1549224000,94,-0.72,8.78,80.6,Port-Gentil,2.24
21,0,FR,1549224000,87,43.56,6.97,48.2,Saint-Joseph,4.7
22,0,CN,1549225875,32,38.94,100.46,-12.45,Zhangye,2.59
23,75,EC,1549224000,37,-0.39,-78.55,71.6,San Cristobal,8.05
24,1,US,1549223760,56,43.97,-111.68,39.02,Saint Anthony,20.8
25,36,NG,1549225877,93,6.71,6.33,75.93,Uromi,1.14
26,12,NZ,1549225878,52,-46.19,168.86,63.87,Mataura,20.49
27,20,ZA,1549224000,88,-33.93,18.42,66.2,Cape Town,10.29
28,0,RU,1549224000,65,56.73,85.44,-40.01,Oktyabrskoye,2.48
29,56,TC,1549225880,100,21.46,-71.14,78.05,Cockburn Town,13.78
30,5,MX,1549223100,25,20.15,-100.52,77.0,Jerecuaro,11.41
31,8,RU,1549225882,0,64.57,143.24,-43.01,Ust-Nera,2.48
32,44,RU,1549225882,46,70.62,147.9,-28.61,Chokurdakh,4.05
33,92,ZA,1549225883,100,-34.05,23.37,67.79,Plettenberg Bay,18.03
34,92,PG,1549225884,100,-2.57,150.8,79.67,Kavieng,6.96
35,92,ZA,1549224000,83,-34.53,20.04,69.8,Bredasdorp,9.17
36,20,CA,1549224000,68,60.72,-135.06,-18.41,Whitehorse,13.87
37,92,CN,1549224000,100,22.54,114.05,68.0,Shenzhen,2.71
38,0,RU,1549225886,50,69.49,88.39,-30.18,Talnakh,6.96
39,0,NO,1549223400,78,71.03,27.85,17.6,Mehamn,18.34
40,0,MM,1549225888,80,20.78,97.03,43.44,Taunggyi,2.04
41,0,IN,1549225888,59,15.34,74.49,65.99,Vaini,5.73
42,0,GL,1549225889,97,72.79,-56.15,4.29,Upernavik,7.74
43,0,FO,1549223400,100,62.23,-6.59,32.0,Klaksvik,5.82
44,0,ZA,1549225890,91,-33.59,26.89,68.55,Port Alfred,12.44
45,0,DZ,1549224000,27,27.87,-0.29,51.8,Adrar,8.05
46,64,CV,1549225891,98,14.9,-24.5,70.94,Sao Filipe,14.0
47,0,AR,1549225892,25,-46.43,-67.52,88.04,Mar del Plata,6.73
48,92,RU,1549225893,98,56.65,32.27,33.59,Andreapol,10.76
49,56,GL,1549223400,41,65.61,-37.64,21.2,Tasiilaq,16.11
50,64,RU,1549225894,65,56.11,69.47,-14.12,Ishim,9.42
51,0,CN,1549225895,55,49.2,119.7,-33.47,Hailar,4.05
52,40,CA,1549224000,62,55.74,-97.86,-14.81,Thompson,5.82
53,0,NO,1549223400,66,70.86,29.09,15.8,Berlevag,5.82
54,20,SL,1549225897,82,7.53,-12.5,79.94,Bonthe,4.72
55,0,CL,1549224000,19,-42.48,-73.76,91.4,Castro,6.93
56,8,UY,1549225648,81,-33.69,-53.46,70.98,Chuy,15.46
57,0,AU,1549224000,88,-30.38,153.1,71.6,Sawtell,6.93
58,100,ZA,1549225900,96,-34.42,19.24,63.42,Hermanus,2.59
59,20,CD,1549225901,95,2.18,22.47,74.85,Bumba,2.59
60,92,CA,1549225901,80,49.17,-101.8,-9.39,Carnduff,10.65
61,0,ET,1549225902,60,7.01,39.97,44.61,Goba,3.6
62,0,IN,1549225903,86,17.02,81.73,67.74,Kovvur,7.4
63,20,CA,1549224000,66,62.45,-114.38,-32.81,Yellowknife,3.36
64,56,LK,1549225904,100,6.12,81.12,78.5,Hambantota,15.12
65,75,GR,1549223400,93,39.42,22.43,59.0,Chara,4.7
66,8,GN,1549225905,53,12.23,-12.34,72.33,Kerouane,2.59
67,0,OM,1549225906,100,22.57,59.53,68.73,Sur,10.65
68,0,IN,1549225907,100,10.57,72.64,83.0,Kavaratti,6.17
69,90,PH,1549224000,83,14.32,120.76,77.0,Sapa,9.17
70,92,BR,1549225908,58,-7.3,-38.15,81.29,Itaporanga,7.18
71,20,RU,1549225909,42,71.98,102.47,-26.54,Khatanga,3.94
72,100,PF,1549225909,100,-9.8,-139.03,78.5,Atuona,17.02
73,88,RU,1549225910,86,56.5,56.08,9.02,Chernushka,9.53
74,75,BR,1549224000,78,-9.48,-35.84,80.6,Rio Largo,11.41
75,0,RU,1549225911,59,52.7,115.17,-35.36,Verkh-Usugli,4.38
76,12,RU,1549225912,82,66.77,123.37,-38.96,Zhigansk,5.06
77,76,AU,1549225912,82,-12.05,134.23,83.67,Maningrida,25.08
78,92,PG,1549225913,100,-5.56,150.15,77.28,Kimbe,7.74
79,0,AU,1549225914,100,-33.64,115.35,61.49,Busselton,19.48
80,0,AU,1549224000,56,-29.46,149.84,71.6,Moree,8.05
81,0,BR,1549225915,36,-17.84,-40.35,93.84,Nanuque,9.75
82,75,BN,1549224000,100,5.28,115.24,77.0,Victoria,2.24
83,40,MU,1549224000,83,-20.34,57.76,82.4,Bambous Virieux,3.36
84,20,AR,1549224000,16,-41.13,-71.31,84.2,San Carlos de Bariloche,18.34
85,80,PY,1549225918,70,-22.35,-60.04,84.35,Filadelfia,10.65
86,64,ID,1549225919,100,-4.94,122.53,80.34,Katobu,1.7
87,90,CA,1549224000,79,50.7,-127.42,24.8,Port Hardy,23.04
88,56,ZA,1549225920,47,-30.97,22.13,66.8,Carnarvon,14.12
89,100,PG,1549225922,100,-2.02,147.27,80.97,Lorengau,12.77
90,0,PT,1549225922,82,41.42,-6.55,25.62,Saldanha,2.15
91,0,IN,1549225923,85,21.92,78.13,56.4,Amla,2.59
92,0,IR,1549224000,87,32.86,59.22,44.6,Birjand,9.17
93,0,OM,1549223400,69,17.01,54.1,73.4,Salalah,4.7
94,40,MZ,1549220400,78,-23.87,35.38,78.8,Inhambane,8.75
95,75,GR,1549223400,93,39.45,22.34,59.0,Saint George,4.7
96,0,US,1549223760,61,42.22,-70.94,42.08,Weymouth,9.17
97,0,JP,1549225928,100,24.8,125.28,73.68,Hirara,11.77
98,75,US,1549223580,73,19.71,-155.08,77.0,Hilo,11.41
99,0,LY,1549225930,24,27.03,14.43,58.56,Sabha,15.68
100,90,CA,1549225140,84,45.36,-73.48,14.72,Saint-Philippe,12.75
101,92,IE,1549225931,94,53.8,-9.52,47.99,Westport,21.5
102,68,MV,1549225932,98,-0.6,73.08,84.17,Hithadhoo,11.21
103,0,US,1549225933,41,37.17,-99.65,64.86,Sitka,8.52
104,20,CA,1549224000,74,65.28,-126.83,-25.61,Norman Wells,6.93
105,0,NG,1549225934,33,12.41,4.49,73.86,Tari,5.73
106,90,RU,1549224000,96,59.7,30.79,32.0,Nikolskoye,8.95
107,0,KZ,1549225935,46,47.96,80.43,-9.03,Ayagoz,3.6
108,75,UA,1549224000,89,49.97,23.55,33.8,Starychi,11.18
109,64,RU,1549225937,92,69.7,170.27,-7.5,Pevek,17.25
110,40,US,1549224900,54,39.62,-77.74,55.4,Vardo,3.36
111,48,CD,1549225938,96,-10.7,22.23,67.52,Luau,2.48
112,76,RU,1549225938,41,60.42,134.54,-26.99,Ust-Maya,4.16
113,56,RU,1549225939,100,50.68,156.12,27.51,Severo-Kurilsk,18.25
114,0,PH,1549225940,81,17.54,120.52,62.88,San Quintin,3.71
115,1,US,1549224900,53,39.75,-75.55,51.08,Wilmington,6.93
116,56,CG,1549225941,89,-1.87,15.88,76.34,Gamboma,3.71
117,1,US,1549223580,19,38.09,-102.62,71.96,Lamar,11.41
118,0,SA,1549224000,76,18.22,42.5,57.2,Abha,3.36
119,90,US,1549224900,92,30.04,-94.42,67.1,Nome,8.05
120,90,CZ,1549225560,86,50.23,12.87,30.2,Carlsbad,12.75
121,90,KM,1549220400,94,-11.38,43.28,77.0,Mitsamiouli,4.7
122,24,AF,1549225945,85,34.38,67.02,13.65,Panjab,2.48
123,90,US,1549224540,95,47.77,-116.79,37.94,Hayden,6.93
124,0,SA,1549224000,54,24.63,46.72,55.4,Riyadh,2.24
125,20,LS,1549225947,98,-29.52,28.61,47.58,Thaba-Tseka,1.7
126,0,GL,1549225949,83,77.48,-69.36,-19.52,Qaanaaq,4.05
127,75,US,1549224900,85,40.53,-112.3,50.0,Tooele,12.75
128,90,US,1549223700,83,39.95,-94.76,60.08,Kodiak,13.87
129,75,AR,1549224000,64,-24.79,-65.41,75.2,Salta,9.17
130,0,CN,1549225952,83,34.0,119.83,25.26,Dongkan,3.6
131,0,AR,1549225953,69,-38.31,-60.23,71.3,Barrow,6.62
132,75,MX,1549223040,69,21.23,-86.73,82.4,Isla Mujeres,11.41
133,0,RU,1549225954,0,67.55,63.78,-33.74,Komsomolskiy,4.16
134,8,US,1549224900,66,35.95,-85.03,66.2,Crossville,8.05
135,75,CA,1549224000,72,47.66,-52.73,15.8,Torbay,27.51
136,88,RU,1549225956,90,66.32,-179.17,14.15,Egvekinot,2.59
137,8,CF,1549225957,31,10.3,22.78,76.47,Birao,8.97
138,8,AO,1549225957,98,-15.19,12.15,78.54,Namibe,8.97
139,24,ZM,1549225958,96,-10.55,32.07,62.97,Chinsali,5.73
140,0,DE,1549221600,92,54.17,10.56,30.2,Malente,8.05
141,75,JP,1549222560,82,31.5,131.29,55.4,Kushima,17.22
142,75,MX,1549222860,69,22.89,-109.91,78.8,Cabo San Lucas,6.93
143,0,SA,1549224000,76,18.39,42.45,57.2,Faya,3.36
144,0,NL,1549225200,76,51.98,5.91,33.8,Arnhem,4.7
145,68,RU,1549225962,65,65.85,44.24,-3.27,Mezen,6.4
146,0,CL,1549224000,19,-41.87,-73.83,91.4,Ancud,6.93
147,32,RU,1549225963,79,71.97,114.09,-17.81,Saskylakh,10.76
148,0,SO,1549225964,41,4.12,43.89,71.34,Xuddur,10.54
149,75,BR,1549221900,100,-7.47,-34.81,77.0,Pitimbu,12.75
150,8,RU,1549225965,0,69.3,139.9,-49.76,Deputatskiy,2.59
151,20,TO,1549220400,74,-19.8,-174.35,80.6,Pangai,9.17
152,76,NZ,1549225966,76,-46.13,167.69,62.57,Tuatapere,23.06
153,0,TD,1549224000,30,9.11,18.35,84.2,Kibala,3.04
154,75,GB,1549223400,100,55.46,-4.63,41.0,Ayr,5.82
155,36,RU,1549225968,80,67.46,153.71,-18.39,Srednekolymsk,3.15
156,75,IE,1549224000,100,51.89,-8.4,46.4,Mahon,17.22
157,90,US,1549223760,100,60.79,-161.76,30.92,Bethel,11.41
158,48,RU,1549225972,83,65.96,78.37,-18.57,Urengoy,14.45
159,90,CA,1549224000,66,49.38,-121.43,14.0,Hope,24.16
160,80,CA,1549225973,64,46.12,-70.67,16.62,Saint-Georges,2.59
161,20,BR,1549224000,83,-22.97,-42.02,86.0,Arraial do Cabo,17.22
162,32,RU,1549225975,82,60.37,93.04,-39.41,Severo-Yeniseyskiy,2.71
163,32,CD,1549225975,78,1.62,18.06,78.99,Impfondo,1.92
164,0,FR,1549224000,86,45.6,-0.6,35.6,Souillac,2.71
165,56,PF,1549225976,98,-16.48,-151.75,83.85,Faanui,15.68
166,90,CA,1549224000,77,49.72,-86.95,3.2,Geraldton,5.82
167,12,PH,1549225978,83,11.0,122.67,73.55,Dingle,11.77
168,40,AU,1549224000,94,-14.47,132.26,77.0,Katherine,5.82
169,92,TM,1549225980,100,39.24,55.52,39.89,Gazanjyk,7.52
170,20,KY,1549224000,74,19.28,-81.25,82.4,Bodden Town,6.93
171,75,AU,1549224000,100,-28.65,153.62,71.6,Byron Bay,5.82
172,90,US,1549223700,62,35.88,-106.3,51.98,Los Alamos,6.93
173,8,PE,1549225982,67,-11.1,-77.61,78.32,Hualmay,6.73
174,75,CA,1549224000,75,68.22,-135.01,-7.61,Aklavik,8.05
175,76,EE,1549223400,86,57.82,26.93,33.8,Juba,6.93
176,36,RU,1549225985,68,46.45,135.83,-2.55,Vostok,6.06
177,20,RU,1549225986,75,71.64,128.87,-37.61,Tiksi,4.16
178,90,CA,1549224000,73,48.41,-89.26,19.4,Thunder Bay,5.82
179,1,US,1549223700,77,47.42,-120.31,41.0,Wenatchee,2.37
180,8,KI,1549225987,100,3.07,172.79,83.9,Butaritari,21.16
181,40,AU,1549224000,87,-42.88,147.33,60.8,Hobart,5.82
182,0,AR,1549225989,36,-40.81,-62.99,81.92,Viedma,7.07
183,75,BR,1549224000,57,-32.03,-52.1,75.2,Rio Grande,12.75
184,0,AR,1549225990,69,-29.14,-59.27,78.72,Goya,12.44
185,90,JP,1549224000,76,33.77,130.47,53.6,Fukuma,13.87
186,20,NZ,1549225991,84,-35.17,173.16,71.07,Ahipara,10.98
187,75,BR,1549224000,78,-3.71,-38.6,82.4,Vila Velha,10.29
188,8,ZA,1549225993,100,-33.02,27.91,71.39,East London,21.61
189,80,TZ,1549225994,92,-8.94,36.14,72.51,Malinyi,1.03
190,12,RU,1549225994,77,73.51,80.55,-6.56,Dikson,11.43
191,32,RU,1549225995,74,53.94,139.92,-11.73,Mnogovershinnyy,2.15
192,90,US,1549225140,96,36.62,-121.92,55.4,Pacific Grove,13.87
193,0,VE,1549225996,51,8.64,-70.23,90.96,Barinas,4.72
194,92,BR,1549225997,91,-8.9,-35.15,79.26,Sao Jose da Coroa Grande,7.4
195,90,US,1549224900,80,47.3,-96.52,4.82,Ada,18.34
196,56,ID,1549225998,96,-3.99,122.52,73.1,Kendari,2.59
197,12,NA,1549225999,72,-26.65,15.16,63.51,Luderitz,18.03
198,40,MU,1549224000,83,-20.41,57.7,82.4,Mahebourg,3.36
199,80,RU,1549226000,97,64.42,-173.23,26.16,Provideniya,11.77
200,92,PH,1549226001,100,17.08,122.42,73.1,Dicabisagan,6.17
201,0,AR,1549224000,22,-39.03,-67.58,87.8,General Roca,11.41
202,75,PW,1549223400,88,7.04,134.26,78.8,Kloulklubed,8.05
203,0,KZ,1549224000,84,50.28,57.21,1.4,Aqtobe,2.93
204,90,US,1549223820,84,21.39,-157.74,78.08,Kailua,9.17
205,32,ID,1549226005,98,-3.36,135.5,67.65,Nabire,1.92
206,88,VN,1549226006,100,22.83,104.99,60.81,Ha Giang,1.14
207,75,BR,1549224000,83,-28.24,-48.67,71.6,Imbituba,16.11
208,0,PH,1549226007,100,18.47,120.58,76.07,Davila,16.69
209,20,TR,1549223400,83,39.98,41.67,-4.01,Pasinler,3.36
210,48,ID,1549226008,100,-6.53,110.7,74.72,Mlonggo,3.38
211,92,CA,1549226009,100,43.74,-81.71,42.36,Goderich,17.25
212,75,AR,1549224000,64,-24.93,-65.37,75.2,Humaita,9.17
213,20,PA,1549224000,55,8.5,-82.29,89.6,Higueron,6.93
214,8,CI,1549226010,90,4.75,-6.64,79.08,San-Pedro,8.19
215,0,SN,1549224000,60,14.69,-16.54,68.0,Gat,16.11
216,90,FR,1549224000,70,48.38,-4.62,46.4,Plouzane,12.75
217,0,ES,1549224000,29,39.49,-1.1,50.0,Requena,21.92
218,0,ET,1549226013,58,8.96,38.73,43.22,Lebu,3.6
219,0,NO,1549223400,100,58.89,5.65,33.8,Sola,12.75
220,76,SB,1549226015,100,-9.43,159.96,76.92,Honiara,3.04
221,75,MX,1549222920,17,23.99,-104.67,71.6,Constitucion,5.82
222,0,CI,1549224000,62,8.14,-5.1,84.2,Katiola,6.93
223,75,RU,1549224000,100,48.03,40.04,28.4,Almaznyy,11.18
224,90,US,1549225140,96,36.97,-122.03,57.2,Santa Cruz,13.87
225,40,NO,1549223400,36,67.67,12.69,28.4,Sorland,11.41
226,0,CL,1549224000,68,-23.65,-70.4,71.6,Antofagasta,14.99
227,0,PT,1549224000,53,37.14,-8.45,50.0,Lagoa,4.7
228,0,PT,1549226023,80,40.36,-7.35,29.13,Belmonte,2.93
229,75,PT,1549224000,88,38.52,-28.7,62.6,Ribeira Grande,9.17
230,0,AU,1549226024,84,-20.74,116.85,78.81,Karratha,4.16
231,20,GB,1549223400,87,51.04,-4.21,44.6,Northam,9.17
232,75,AU,1549224000,79,-20.31,118.58,86.0,Port Hedland,19.46
233,92,PL,1549226026,93,53.41,22.8,35.57,Monki,7.74
234,90,SE,1549223400,85,63.83,20.26,14.0,Umea,9.17
235,90,CZ,1549224960,95,50.44,15.13,32.0,Dolni Bousov,17.22
236,20,TT,1549224000,48,10.24,-61.45,86.0,Esperance,11.41
237,20,RU,1549224000,66,55.0,86.81,-32.81,Krapivinskiy,8.95
238,0,RU,1549226029,73,68.75,161.3,-16.59,Cherskiy,7.63
239,75,CA,1549224000,75,69.44,-133.03,-14.81,Tuktoyaktuk,11.41
240,44,ID,1549226031,99,0.54,123.06,72.92,Gorontalo,2.15
241,0,RU,1549226032,32,52.78,126.54,-22.53,Ushumun,7.18
242,90,US,1549223760,78,41.28,-70.1,39.02,Nantucket,8.05
243,90,RU,1549224000,98,55.75,38.0,33.8,Zheleznodorozhnyy,4.47
244,1,US,1549224900,77,46.92,-98.0,-0.94,Valley City,17.22
245,68,ID,1549226034,100,-9.65,120.26,75.44,Waingapu,5.06
246,0,CM,1549226034,93,4.85,9.82,70.98,Manjo,3.6
247,75,MY,1549224000,94,6.02,100.38,78.8,Simpang Empat,3.36
248,90,GF,1549224000,78,4.94,-52.33,80.6,Cayenne,6.93
249,20,CN,1549226036,68,33.26,115.35,24.14,Jieshou,2.71
250,40,BR,1549224000,43,-20.93,-54.96,91.4,Sidrolandia,10.29
251,0,ES,1549224000,75,43.27,-7.54,46.4,Bereda,3.36
252,88,RU,1549226038,89,54.2,50.47,11.67,Koshki,3.49
253,75,US,1549224960,70,27.85,-80.5,82.04,Micco,10.29
254,90,US,1549224480,83,44.29,-105.5,8.96,Gillette,18.34
255,0,AR,1549225808,82,-38.55,-58.74,66.89,Necochea,6.62
256,75,GY,1549220400,83,6.8,-58.16,82.4,Georgetown,11.41
257,20,CA,1549224000,47,66.15,-65.72,14.0,Pangnirtung,13.87
258,24,SL,1549226043,62,7.96,-11.73,84.17,Bunumbu,6.62
259,20,EC,1549224000,70,-0.74,-90.35,84.2,Puerto Ayora,11.41
260,90,CA,1549224600,76,70.47,-68.59,-9.41,Clyde River,23.04
261,0,ES,1549226045,79,38.69,-4.11,30.03,Puertollano,2.48
262,40,AU,1549224000,87,-43.03,147.26,60.8,Margate,5.82
263,56,ID,1549226046,100,-1.24,116.86,80.3,Balikpapan,7.63
264,80,VU,1549226047,100,-19.55,169.27,77.1,Isangel,11.99
265,64,PG,1549226048,100,-3.66,152.44,81.02,Namatanai,11.54
266,0,ES,1549224000,75,42.77,-9.06,42.8,Muros,3.36
267,0,NO,1549223400,48,69.65,18.96,19.4,Tromso,42.5
268,88,ID,1549226050,100,-5.67,132.75,82.95,Tual,15.46
269,68,KZ,1549226050,83,45.32,55.19,25.04,Beyneu,3.15
270,0,CL,1549224000,24,-45.58,-72.07,93.2,Coihaique,9.17
271,75,IS,1549224000,92,63.84,-22.43,28.4,Grindavik,9.17
272,20,MN,1549226052,29,48.91,106.09,-22.08,Bayangol,2.93
273,8,IN,1549226053,54,16.52,75.3,67.25,Jamkhandi,7.74
274,90,SE,1549223400,92,57.26,16.44,28.4,Oskarshamn,8.05
275,92,CA,1549226055,66,49.65,-108.41,-11.01,Shaunavon,10.65
276,8,RU,1549226055,47,65.85,74.49,-28.47,Pangody,11.43
277,48,BR,1549226056,76,-30.17,-50.22,72.69,Cidreira,11.99
278,75,PF,1549224000,78,-17.73,-149.15,82.4,Tautira,21.92
279,75,CA,1549224000,65,63.59,-135.9,-36.41,Mayo,3.49
280,0,EG,1549225933,81,24.09,32.9,52.26,Aswan,3.04
281,32,RU,1549226058,59,62.16,117.65,-33.47,Suntar,4.94
282,8,GL,1549226059,100,60.14,-45.24,24.72,Nanortalik,5.73
283,40,AU,1549224000,82,-37.83,140.78,60.8,Mount Gambier,11.41
284,75,ES,1549224000,67,28.66,-17.92,62.6,Los Llanos de Aridane,11.41
285,75,PT,1549224000,82,37.8,-25.58,62.6,Rabo de Peixe,13.87
286,75,ES,1549224000,100,43.32,-3.02,41.0,Portugalete,4.7
